# Elements 1e+06
[00000.176 ms] [1.644725] multiplySeq
[00014.887 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=32]
[00014.914 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=48]
[00014.822 ms] [1.644725] multiplyCuda<<<auto, 512>>> [thread-duty=64]
[00014.645 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=1]
[00014.644 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=2]
[00014.650 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=3]
[00014.647 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=4]
[00014.647 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=6]
[00014.650 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=8]
[00014.644 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=12]
[00014.718 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=16]
[00014.785 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=24]
[00014.810 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=32]
[00014.875 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=48]
[00014.832 ms] [1.644725] multiplyCuda<<<auto, 1024>>> [thread-duty=64]
