# Elements 1e+06
[00000.314 ms] [1.644933] multiplySeq
[00002.866 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=1]
[00002.867 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=2]
[00002.868 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=3]
[00002.869 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=4]
[00002.868 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=6]
[00002.867 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=8]
[00002.884 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=12]
[00002.897 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=16]
[00002.907 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=24]
[00002.896 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=32]
[00002.907 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=48]
[00002.916 ms] [1.644934] multiplyCuda<<<auto, 128>>> [thread-duty=64]
[00002.903 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=1]
[00002.902 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=2]
[00002.902 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=3]
[00002.901 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=4]
[00002.857 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=6]
[00002.890 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=8]
[00002.883 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=12]
[00002.896 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=16]
[00002.905 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=24]
[00002.890 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=32]
[00002.900 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=48]
[00002.900 ms] [1.644934] multiplyCuda<<<auto, 256>>> [thread-duty=64]
[00002.862 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=1]
[00002.861 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=2]
[00002.859 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=3]
[00002.870 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=4]
[00002.856 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=6]
[00002.892 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=8]
[00002.882 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=12]
[00002.895 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=16]
[00002.899 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=24]
[00002.884 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=32]
[00002.899 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=48]
[00002.900 ms] [1.644934] multiplyCuda<<<auto, 512>>> [thread-duty=64]
[00002.858 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=1]
[00002.854 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=2]
[00002.859 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=3]
[00002.870 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=4]
[00002.854 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=6]
[00002.891 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=8]
[00002.879 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=12]
[00002.891 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=16]
[00003.374 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=24]
[00002.884 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=32]
[00002.894 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=48]
[00002.897 ms] [1.644934] multiplyCuda<<<auto, 1024>>> [thread-duty=64]

# Elements 1e+09
[00577.126 ms] [1.644934] multiplySeq
cudaErrorMemoryAllocation: out of memory
  in expression cudaMalloc(&yD, N1)
  at multiplyCuda:34 in src/multiplyCuda.hxx
